term,description
Chickenpox,Chickenpox is a contagious disease caused by the varicella-zoster virus. It causes an itchy rash with blisters. Learn about vaccines and treatment.
Chikungunya,"Mosquitoes carry the Chikungunya virus. Learn about Chikungunya prevention, symptoms, treatment, and more."
Frostbite,Did you know that frostbite can cause permanent damage? Learn how to identify frostbite symptoms and what to do if you think you have frostbite.
Child Abuse,Child abuse can have many forms. It can have long lasting emotional effects. Learn about child abuse.
Child Behavior Disorders,"Is your child showing aggression, hostility, or other disruptive behaviors? Learn about childhood behavior disorders and how to help your child."
Child Dental Health,Healthy teeth and gums are important to your child's overall health. Good dental habits and proper oral care can help prevent tooth decay and cavities.
Child Development,"Ever wonder what's ""normal"" for your child? Child development includes physical, intellectual, social, and emotional changes. Learn more."
Child Mental Health,"It's important to recognize and treat mental illnesses in children early on. Learn about warning signs, tests, and therapies."
Child Sexual Abuse,Sexual abuse is one form of child abuse.  It includes a wide range of actions between a child and an adult or older child. Learn the facts.
Child Nutrition,What should be on your kid's plate? A healthy diet helps children grow and learn. Learn more about nutrition for children.
Child Safety,What steps should you take to ensure your child's safety? Get specifics on safety for kids.
Child Sexual Abuse,Sexual abuse is one form of child abuse.  It includes a wide range of actions between a child and an adult or older child. Learn the facts.
Childbirth,"Childbirth is the process of having a baby. Learn about the 3 stages of labor, and how you can prepare, tell if you are in labor, and manage the pain."
Childbirth Problems,"Complications may happen during childbirth including preterm labor, problems with the umbilical cord or position of the baby, and birth injuries."
Asthma in Children,"Children's airways are small, making asthma more serious for them. Learn the symptoms, what can cause an attack, and long term treatments."
Childhood Brain Tumors,Childhood brain tumors are abnormal growths inside the skull of children. Even benign tumors can be serious. Learn when a child should see a doctor.
Cancer in Children,You will have a lot of questions if your child is diagnosed with cancer. Many cancers in children can be treated. Learn about childhood cancers.
Childhood Leukemia,"Leukemia is cancer of the white blood cells, it is the most common type of childhood cancer. Learn about the symptoms, and treatment options."
Obesity in Children,Obesity in children is hard to spot because they all grow at different rates. Find a list of tips that can help you monitor your child's health.
Childhood Vaccines,"Childhood vaccines, or immunizations, protect your children from many serious or even deadly diseases. Learn why and when you should vaccinate your children."
Diabetes in Children and Teens,Children and teens can get Type 1 or Type 2 Diabetes. Learn the differences between the two.
Medicines and Children,"Never guess how to give medicines to a child. When it comes to taking medicines, kids aren't just small adults. Learn how to follow the drug label."
Children's Health,"Most parents know the basics of keeping their child healthy, but what else do you need to know? Learn about issues related to your kid's health."
Chiropractic,Chiropractic is a health care profession. Chiropractors perform manipulations to the spine or other parts of the body. Read more.
Chlamydia Infections,Chlamydia is a common sexually transmitted disease contracted by men and women. Chlamydia usually does not have symptoms. Learn about tests and prevention.
Choking,"Do you know how to respond if you see someone choking? Learn how to respond with back blows, the Heimlich maneuver (abdominal thrusts), and CPR."
Bile Duct Cancer,"Bile duct cancer can be caused by liver diseases or colitis. Learn about bile duct cancer tests, diagnosis, treatment, and survival rates."
Bile Duct Diseases,"Infections, gallstones, and cancer can result in bile duct problems. Discover the types, causes, symptoms, and treatment of bile duct diseases."
